,review_comments,star_rating
2,"Game is completely different than the ad I followed shows. Recent update reformabts the screen that shows game progress and looks to me a lot like a board game, also adds a bunch of moving effects that are completely unnecessary and are actually distracting. Constant prompts to buy coinsNot sure I like the app at all now  ')",2
7,"Rating this a 1 star until my issue is resolved. We paid the 10.00 and linked the account but when it came time to re download after a phone issue, our purchased levels naver came through. So we basically just gave them 10.00 for nothing because my son only had the game for a week or so.  ')",1
14,First im not spending money on upgrades if i cant upgradethru earning them in battle i have ove 300k and cant spend any of it to unlock better ships or weapons ive. Then in the middle of a battle it says i lost but i never died it just says defeated and im still playing in the background so i wind up losing 10k each time.  '),1
17,"It is set up so that its brightness does not match the phone's brightness for some reason. Playing right before bed? Get ready for a nice, bright light in your eyes because you played 6 hours ago. Also, there are a lot of ads between games and it eats through your battery very quickly. Edit to respond: the fact you change brightness in the app IS THE PROBLEM. Just make it the brightness the phone is.  "")",3
18,"Cool game, great material design! Everything is great but the fact that you have to pay $3 to get rid of the excessively common ads. There should be something else that comes with no ads, because I am not going to waste $3 on a game just to get rid of ads. I am just going to delete it. At this point, I am going to play ""Missiles!"". It is much more developed and has little ads. The no ads in-app purchase is not going to get you any money!  ')",3
24,"My honest opinion is that not much work was put into this game which is made obvious by the controls and animation. One thing I don't like is how they thought it was ok to pack it with adds. If this game was better as far as animation and controls I would have appreciated it more. Other than that the game was ok. To be completely honest I think I made something similar for extra credit in my coding class in 8th grade.  "")",3
26,"For the second time all the progress I made has been deleted. Everytime I have total magnet, star power, backpack filled the game resets itself start glitching. I about over this game. It is super frustrating to start all over. I couldn't even login to my Facebook fooling with this app. It's about that time to free some space by deleting this app.  "")",1
27,Great game. Adds are a bit too frequent in free version. Uninstalled for this reason. Devs please change frequency of Adds for better rating. I personally never purchase any App no matter how good if the free version is crippled by Adds. I should be able to enjoy it for a while and purchase to get cool paid only  features!  '),3
29,"For a game that you can't win, this one is very addictive. It freezes a lot, which is part of why you can't get far. If you upgrade the shooter or power, the initial blocks get higher numbers which really sucks. You should be able to get further along when you upgrade your shooter :-/ So, two stars. It quickly loses it's entertainment value when you just can't get ahead.  "")",2
31,I paid for premium it still shows me ads and asks me to pay again  '),1
34,"Hasn't even been 10 seconds into the game before it shut down ÄÅ¸Â¤Â£ - I thought it would be different for me as I have the S8+. Obviously NOT. The game started off very well and easy to navigate. Ease of controls. I will uninstall as there isn't much point keeping this game when it has already failed itself.  "")",3
35,"My Account got deleted lv65 VIP4  Last update, after long day of email exchange with the support Ended with  ""we cant find your account.""     Nonetheless game was fun up to that point.Great game. Made with lots of considetion to the chars.. But doesnt change the fact that my account was deleted by the game handlers ÄÅ¸ËÂ¢.   Happy holiday...  ')",3
39,"I loved this game, hence why I paid for the version without ads. After the latest update it's very slow, choppy and after every game I have to sit through ads. Really disappointing for almost $5.  "")",1
41,"Its kind of annoiying how many pop ads come up and how some choices require gems. But I get it,a free app has to do what a free has to do. I like the graphics though I sometimes wonder who in the world dances and runs like that. In short: really awkward to look at. On top of that the dialogue's pretty corny.  So i just find myself cringing frequently. But I like intereactive stories cause they're.......intereactive? And i'll admit it, some part of me actually enjoyed playing this game. So.....  "")",2
45,"This game asks for more money than my old lady!  If you have 200 diamonds, you need 210.  If you have 262, you need 284, give us your money.  They will not ever give you anything you can afford. And too be a premium player is $120 a year,  that\'s more than Netflix And Netflix doesn\'t have commercials!  And more ads on here than a Superbowl game. Oh, and if you like PvP expect to get booted out 60 percent of the time due to"" failed connection"" which uses your energy for nothing, but don\'t worry.... you can buy more useless energy if you buy more diamonds with your money.  ')",1
51,I loved the previous version and was addicted to it. But the new version is bad!  Bad things about the new version: - Lifting effect disturbing (3D effects in general)  - Block is not blurred when it does not fit in the board - Slow performance when game over  Please revert back to previous version!!!  '),1
54,"I've been playing this game for a few days, so here's my review. I enjoy the stories even though they use a lot of archetypes, and I don't mind waiting for keys. The biggest issue I have is with the gems and premium choices: not only do the premium choices cost an unreasonably high amount of gems, but every time there are choice options with at least one premium choice, the premium choices are always presented as the better ones. This is less like making my own choices and more like reaffirming my assumption that the premium choices are always the better ones. I've come to the conclusion that I would rather pay once to have this app installed rather than install it for free and pay money for gems just so I could pick the premium choices.  "")",3
56,"Game is fun to play per say. What really ruins it, is the constant need to purchase rubies. Nothing but a money pit. If you got as many rubies as you did coins game would be more fair and fun. Also there's maybe two things  you can buy with coins. Butf course that would take money out of your pocket. Of course energy =purchase w/rubies or quit playing let energy build. Love the game just limited energy, then have to build up energy. (I refuse to buy anymore rubies, so I'm just limited on what I can do since everything has high energy requirements.  "")",3
57,What happened to giving out boosters for daily login that can be collected and used at a later date? All I ever get now is a single booster for 2 hours and 30 minutes of infinite life. Please bring back the other rewards or at least reward us with a combination of both.  '),3
58,"This game IS NOT FREE. Sure you can download for free, then you can play a few games for free, then if you want to get better ... Guess what.... you have to pay. Then as you get better you have opponents that are WAY out of your league so that you have to spend your gems (which cost money... A LOT of money to purchase. Then guess what... More opponents out of your league, and you have crosswords, while they have a nice light tail wind , from the same tee box. This app should be investigated by the better business bureau and BANNED from the play stores. Complete FRAUD  ')",1
59,There is a glitch in multiplayer mode. I am not able to join the party nor the friend is able to see my party. Please fix it ASAP.  '),3
62,The reason I hate this is beacuse some miscreants are using this and other games to make users install it in exchange of getting a link to ios animoji apk for Android. Both games are from igg. That means either they are promoting their game through fake marketing or they are paying somebody to do so.  '),1
65,"I installed this a couple of days ago and love it but you are soon restricted and can't do much unless you want to buy and spend money. It's a lot of money too in the long run and bit worth it.  Shame really. I'd buy it as a one off. Also you can't  just so and freestyle designs it's always a competition you're entering and have restrictions you need to meet. But if you enjoy this stuff and are happy to spend then go ahead.  "")",3
68,"Well after getting over 200 ""gas"" id try to race and it just drained it all till my last 30 some before it decided to let me race. Very unhappy there. Any fix for this? Other than that i like the game just kinda robbed me of my time to wait on more gas.  ')",2
71,Lying game. Have a tourney to earn points but no where in description does it tell you that you lose points when you lose a clash. I know you lose tropbies but tourney description doesnt specifically say you lose points. In other challenges you just aquire points and receive prizes. Eff you loser  '),1
74,"Great timewaster! There are a lot of characters to earn and you don't need to spend real money to get them, so that's a plus. However, rated it a 3 cuz there are sooooo many ads. I get that ads generate the revenue to keep a good game free but an ad populates for literally every action. Win a game=ad, lose a game=ad, go to the settings=ad, change the volume=ad... ok the last one is fictitious but it really seems like that's how it works  "")",3
76,Too much advertisement. Never seen such amount of ads in any app. Disappointing ÄÅ¸Ëâ  '),1
