,review_comments,star_rating
2,"It's simple, cute, and plays pretty smoothly.  It's a huge bonus that there are no ads.  Seems like there could be more focus on enjoyable gameplay over absurd obstacles to generate revenue.  The enjoyment factor drops significantly around level 190, where the game doesn't feel like a challenge so much a constant dream of luckier block falls.  I also had to earn the right to spend real money on a piggy bank, but I have no idea why it exists.  Also, no mobile game with a $100 price point deserves a good review.  "")",2
4,"It is a pretty good game, the controls r fine, the graphics look as good as the games, and the gameplay Is kinda fun. The part that I don't like about the game is that it gives you the first three levels and you have to get all the pink coins in order to get the castle. In my mind I thought that once you got all the pink coins from the castle that you could do the next world, but it turned out to be that you got the first four levels for free and had to pay to play the rest which I think sucks. But it's whatever, I'm gonna keep playing but only when I'm bored.  "")",3
6,Ì¢À_å_LOVE ITÌ¢À_å_just 2 humble request 1. Remove Piggy Bank Please is not appropriate as it is a DIRTY ANIMAL AND PROHIBITED IN SOME RELIGION  2. Make something so we can scroll down to low levels easy like in google it has something on the side to do the job.  BEST REGARDS : player  '),1
8,"TOO MANY ADS  I would play this game so much more if you would make the ads just not pop up after every game. Developers I don't understand why you guys would put a no ads to buy for like a dollar but did you really have to put a video after every game. Each time it interupts the music I'm listening to on my phone. The game itself is great. 5 stars, but please tone down the ads  "")",2
9,"I love this game and have got really far on my iPod but want to move to my phone, however there doesn't seem to be a way to transfer my progress. I thought it was supposed to happen with Facebook but it hasn't worked. Maybe add an account option?   Update: I do still love this game. But I've reported the same issue at least 4 times and not a thing has been done about it. I have also seen that many people have had the same issue. Why does such a good app have such poor customer service.  "")",1
12,"Completely unplayable because the game is centered around taking money from you. Very poor programming, and just blatant, obvious and rank capitalism.   You can't continue unless you pay them money or else watch a 30 second ad. Every time. For real.  You people are the reason mobile gaming is complete garbage now.  And I guarantee 99% of those favorable reviews are bots.   Do not download. Scammers.  "")",1
13,"Want to play an ad? Download this game and you'll get to experience all the thrills of pop up ads between brief stints of playing the game you thought you downloaded instead of the ads. There is at least two ads per game. Some of the ads go landscape to further increase game play pleasure, X one out and Bam! Bonus round go straight to the app store to see the ad you X'ed out available for download. Go back and BAM try the X again YOU GO BACK TO THE SAME PLACE. Good times were had played ten games and uninstalled. ADWARE ten millions downloaded how many kept it longer than twenty minutes.  "")",1
16,"This is a fun little word scramble game. Straight forward easy to play. With challenging levels. I don't like that it takes 120 coins to reveal one tile - that's a bit much for how little you're rewarded for solving a level. I've played 492 levels and received over 100 coins twice during the bonus spin. The idea is that it's a random spin, with random coins rewarded but the constant reward is less than 100 coins seems kinda hokey.  All in all I like this game.  "")",3
18,"Stolen assets a-plenty. They literally have the Offspring logo on one of their boss ships. Not even kidding. They even used the Super Mario Bros level complete music in there, yet they're charging for crystals and in-game assets like ships and power ups. The game play is fun, albeit unfortunately bogged down with what seems to be a very greedy app developer's laziness and plagiarism of already established commercially trademarked and copyrighted assets. I have video of me playing this game ripped directly from my phone showing all of these issues, and will upload it to YouTube if someone takes offense. This game could have been a lot of fun, but it's literally just a cash grab. I'm tempted to report all of the copyright and trademark violations, but there are too many of them to count.  "")",1
20,"Pay to win. To make any progress it takes weeks of saving resources only to get them raided. So you have to buy gems or other resources in order to get quantities quickly enough to be used before they are stolen buy players who spend a lot of money on this game. It's a very slowly progressing game but enjoyable enough to be played without spending tons of cash if you're the patient sort.  "")",3
