,review_comments,star_rating
0,"This game is awesome. Its addicting and I love it. I've played games on Google play. Out of all of them this is the best one. I'm not sure why anyone is criticising the game and why they have to pay for some features. I'm sure that if they created a game they would want to make money on it. Or even need to keep the upkeep on it and performance or ad levels. I don't think people would want to use their own money from their regular job to keep up such a massive undertaking. They would be homeless if they did. Therefore wouldn't even get to play games such as this. You also have to remember that the only right you have in the U.S. is to spend money, and fun cost money. But n-e-ways great game guys.  "")",5
1,"Absolutely love all of the geometry dash games! Colors and graphics are awesome, game play is challenging but fun, and the music is perfect! Only thing I can complain about is that I wish all of the levels from these free versions were in the full version. I own the full version and would much prefer to be able to play these levels without ads and with all of the cool characters and colors I have unlocked. Other than that though, amazing work you guys, keep it up!  ')",4
3,"I REALLY like to save this little sausage life! It is a little challenging(ÄÅ¸Ëï¿½I mean I OBVIOUSLY am good at the gameÄÅ¸Ëâ). Although I would REALLY like to challenge other people and be challenged because its a good game. Rarely it would just be really slow but I think its just my phone. But in other words I really like it! It's silly, fun and addictive!ÄÅ¸Ëï¿½ÄÅ¸Ëï¿½ÄÅ¸Ëï¿½  "")",4
4,"CANDY CRUSH is the very first game that I got on my first touch screen phone. The only things that I don't like is the chocolates & sometimes when I go to make a move, they make the wrong make....doing whatever it wants to do.  "")",4
5,"A lot of fun and a challenge to your mind!  There were a lot of adds, but if you paid for some coins (at any price package you wanted) they went away.  After I did that my experience has been much more enjoyable!  ')",5
6,U choose choice of card and what game you play so u can either play on your own or against others just watch what u doing as time goes past so quickly b4 u realise it! One wrong move and u cannot win so helps improve memory not to do it again!  '),5
8,"Really awesome! I loved it so much! But.... There's a downside to it. I really enjoyed playing it that I made my friends download it, but can you please make the game to where it doesn't keep eating my battery that much, because I'm a traveler person so I need my phone battery to stay up even if I played games when I'm bored.   If you're reading this, please fix this problem. Thanks!!   Sincerely,  InGame Player:  AlphaLife.  "")",5
9,"Super fun and addictive. Like it there is free play and challenge mode. Makes the game harder and harder. I also like the fact the more time you play, the more characters you unlock. Very fun.  Would recommend this game to any age but more specifically to childrens. Must have game for kids. For all the none kids, this game is a Grest wake up game to get the brain up 'n going to start the day 4.5/5  "")",5
10,"Guys this game is the best offline game I have ever played as it is toooooo much addictive. U would not believe me, firstly u would die very easily but as u play on then it would be easy to create high score. It also makes your reflexes more faster. The creators have done a great work. And people who are saying there are lots of adds are talking rubbish.  Play it!!!!!  ')",5
11,Very good game. Simple but elegant concept and very well executed.  There is so much more to this then the basic game. VooDoo really delivered on this one.   I do find it funny that the ball for no hands is a football and not a futbol.  I also think it would be cool if they add a ying yang ball for getting 69 points and a heavenly background for a near death experience.  '),4
12,"I enjoy the game, and I realise that the ads are necessary to keep the game free....BUT the advertisers don't do themselves any favours when the SAME ad is repeated ad infinitum.... It works against them....makes me less likely to take up the offer! And it is particularly annoying when they interrupt play and some ads you have to click out of, and some you need the back key! At least give some variety in the ads and consistency as to method of disposal.  "")",5
13,"Definitely play this game it is so fun! You can play with your friends and battle people it's AMAZING also it is great for doing YouTube videos on!!!!!!   But although it is a good game the lag is crazy!!  Almost Everytime I play this game it lags...Also it is sooooooooooooooo hard or join a game which your friend is on as they are mostly full. Also why are there so many updated you don't even update much. And lastly we should get a daily reward of robux per day!  "")",5
15,"Love this game I always fly through the levels within a few days of them being released so would be nice if they released more and quicker. All that's left to do for the next week or 2 until the next set of levels are released is build up gems so I have alot and the odd time you release new collectables I collect them all immediately with plenty of gems to spare. I'm not having troubles with crashing this update, finally, but I am also not purchasing things.  "")",4
16,"When it's not crashing, it's fun to play.  Sucks when it doesn't load of locks up during game play.  Also it gets expensive as you have to buy packs at $99 a pop after the 1st 2.  The game play is addicting, but no fun if you cannot afford the special offers they continue to throw in your face every time you log in.  I love final fantasy games but this particular one is a money pit!.  Not to mention the constant crashing  "")",5
19,"Good game but when you ho to get the gems for a clue it doesn't add the gems, it's says network problem....not good!!!!! Apart from that good addictive game  "")",4
20,"Im really sattisfied with thegame, even though sometimes it takes me forever and lots of lifes to pass a level. But as everyone, judging by the comments i see submitted after the latest update, the game now stucks on the intro of the knitting challenge. After the dialogues are over i just see a part of the house, austin going around, screen unaible to move around and no game buttons. Please fix that soon. It would be a same to uninstall given that i am on level 252.  ')",4
21,"I absolutely LOVE it! ÄÅ¸ËÆ   Its relaxing and the words aren't too hard, its a great time killer and its fun usually I don't like these kind of games but this one I do. I find the scenery and the background beautiful. I think its kinda cool how the background changes depending on the level. I have lots of fun! ÄÅ¸Ëâ Only problem could you take away some of the adds...  Plz?!  "")",5
22,"Very good game overall, we'll put together. Animations are smooth. Very familiar character lines. Funny boss fighting sequences. Love all the middle fingers you throw up by tapping the screen as fast as possible. You can tell this isn't just a cash grab game they give you all the major things you need for free and frequently enough where your not always hurting for more. So yeah I'd download this if you love trailer park boys as much as I do :D very good time killer  "")",5
23,"Far too many ads that take too long to view. Making the app for a reasonable price to purchase ad-free would be great.  The game itself is great, & a fun way to relax & keep your mind sharp at the same time.  ')",5
25,"this game is a thousand times better than agar.io in my opinion! It's so much easier to get onto the leader board. Every time I play I get onto the leader board. It's just so addicting and I can't get enough. Everyone in my family loves it too. Creating your own skin is a great option as well. My only complaint is that the 'play online' option is very laggy, and if you fix it would be much appreciated. Thanks for a great game, from me, ella, lauren, mollie, shane and ollie ÄÅ¸ËÅ ÄÅ¸ËÅ   "")",5
28,"Great game, fun to play.  Only things I don't like are the fact there are so many ads and not just short ads long videos which is really annoying, and second and probable the biggest issue I found is that there is no single player option! I have to have like 10+ games going to enjoy playing if my partners arent online or play often. Would be much better if there was single player option  "")",4
30,"Its a legit fun game to play but...  For me I get streshed because when I need to do it over again then u  streshed by not doing it...    Its still kind of a good game though..  Also on YT thanks for...   !!!! 2 SUBSCRIBERS!!!!  I know its not alot but I am rlly happy and I'm thankfully to who subscribed to me on YT :)  My name was galaxy DJ but now..  Its AngelPlayz I haven't even uploaded any videos yet ÄÅ¸ËâÄÅ¸Ëâ but thanks for the support!  I might be making new videos about roleplays bloxburg builds and games to enturtain u guys to not be bored!!   I LIKE TACCCCOOOOSSSSSSSSS.....  ÄÅ¸ï¿½ï¿½ÄÅ¸ï¿½ï¿½ÄÅ¸ï¿½ï¿½ .. This is so long lol...   Sorry how this is so long ÄÅ¸ËâÄÅ¸ËâÄÅ¸ËâÄÅ¸Ëâ Well yeah that's all I got to say..!!?  Cya peace GUYSÄÅ¸ï¿½ï¿½ÄÅ¸ï¿½ï¿½  "")",4
32,"I love it. It is a really fun game to play when your bored. Very good graphics and so many songs to choose from. By the way has anyone found the song 'faded' by Alan walker cause I can't find it. It would really help if someone could help me. Anyways you should definitely get the game to test your speed and you will get really good at it. Hopefully you will give it a five star cause you defiantly should. If you have read this far, thank you and have a great day. Like if you agree with my comment  "")",5
33,"The graphics are good, the controls are immersive...dont feel bad about why i gave only 4 stars because once i played in the tournament mode and the guidelines of the opponent was pointing in a different direction while when he is hitting a ball, it is automatically going parralel towards a pocket. It happened only once; looked like the opponent was hacking the game. He was potting all of the balls like that, and there was also full network. If you can fix it, then the game can be improved.  ')",4
36,"There are just too many ads and some are inappropriate, e.g. ""Episode"".  The timing of the ads are also very annoying.  The colours are bright, the colour combinations and the flashing colours don\'t work well on the eyes.  ')",4
37,This game is one of the best games I played. It does need some skill and time to get good at it. I think it deserves 5 stars. You can remove ads for free by simply turning off wifi.  '),5
38,"I love Animal Crossing in all its varying forms. This game is fun, but rapidly hits its limits. After accomplishing the stretch goals...that's it. No more stretch goals are refreshed or given. You do get daily goals, but they are really simple. I am on level 50, and I play occasionally to get the new animals. I wish there was higher, unique prizes in exchange for the rare bugs and fish. All in all, it's a fun game but rapidly grows stale.  "")",5
40,"I love the concept of the game, it's awesome. I recommend it if you like upgrading games. The only thing is I would like to see more out of this game. Not talking about bugs or new fixes, I just want some new stuff in this game.  I love it. One last thing is when I shut the game game down I don't earn as much as I do if I leave my phone on? Not really sure what that is, but it's not a huge deal just would like it to be considered in the next update. Thank you!!!  "")",5
42,Best game played after a while.. Graphics are amazing.. Gameplay is good too... Controls are responsive and easy to use... Minor lags that needs to be fixed..... Amd those who are facing error in network while downloading game data download super vpn and start this application and then download the data it will help you  '),5
43,"I love this game it's very fun. But the more I play it, the more it seems to glitch out and completely forget where my rocket is on the trajectory in Map View. Right now there are TONS of grey arrows scattered around Earth and orbiting randomly throughout the solar system... Could these be old attempts  EDIT: Sweet! That fixed it, you rock. Love the game  "")",5
44,"Many games say they are free to play but you are limited as how far you can go without putting money into the game as long as you grind and have patience as takes time. . GoH is not like that. You can actually gain the better gear, the better characters, etc without dropping buckets of money in the game. All you need to do is regularly play the game, level up your character,and participate. Doing so you will get stronger characters. This game has great gameplay, awesome characters,fun PvP and it's just addicting overall. This game is truly free to play.  "")",5
46,"Wow just wow  (there is no words cause it's so awesome)  "")",5
47,"Ok, so after i played this for a bit I changed my rating of the game. I like the game, however, it's just not my favorite of the Murka games... I have been so incredibly impressed with Scattered and Era, that the bar is rather high I must admit! I guess I feel like these slots are child-like, or made for kids rather than appealing to my senses!ÄÅ¸Ëï¿½  I'm gonna give it some more time and levels, but no money!!! We'll go from there!!!  "")",5
48,"Update: I previously paid for this game remove the adds. Three game recently updated, and I'm stuck with adds again. Not cool, game. Not cool!  I like this game. No limits to how many rounds you can play. No fb nagging your friends. Fun and simple. Would pay a buck or two to remove adds if that were an option.  "")",4
49,"Awesome. It's almost like the old pc version. But it could get expensive to add/buy items. I wish there was a flat price version with its own package and a option   that gives you the whole game with the choice of the customer been able to pick the extras they want (like it's done now ). Anyway I'll be recommending this game to all my friends. So thank you for making me feel like a kid again! ÄÅ¸âï¿½ÄÅ¸ËÅ   "")",5
50,"It's quite simple at the beginning.  Waiting for it to get more difficult but I won't wait long if I have to keep jumping through your advertisement hoops to play. I'm tired of them.  "")",4
52,"I really lived thus game because it isn't just tapping something but it's actually training your brand and improving your attention, memory, logic and your mind in general. If you need help in any of those subjects (or you just like a bit of fun ) I would dwfinately say this is the game for you.  "")",5
