,review_comments,star_rating
0,"I have been playing roblox since 2008 and the way it has developed is amazing I love this game so much keep it up but I just have one issue please bring tix back we miss it so much we know its hard but tix was way better than robux  let's be honest here if we could have tix back for one day I would be so happy why did you have to talk away tix? Tix was what made roblox,roblox. Please we are begging you!  "")",5
1,"I love it  But I got a different phone and logged back onto Facebook and I lost all my characters and money! I am really upset about this ,is there a way to get it back or is it gone forever? Please help because I love this game! I would like a refund of all my characters, money and other purchases or help me get them back  ')",4
3,"Oh my god... This is the best geometry dash free game I have ever played,  and is almost more fun than the full version.  Robtop, you have regained full respect after what happened with meltdown. I'm just speechless, at the amount of work that was put into these three levels, going from the camera angles to the animations. This game is not like meltdown,  which is three short amateur levels, but with three long, harder levels. This game is like a preview to 2.2, and I know it's going to be good.  We'll done, Robtop! Keep up the great work!  "")",5
5,I liked it  '),4
7,"I love it quite a lot but there are too many ads and NO SOUND. The only thing that happens when things blow up is your phone vibrates. And seriously, there's an ad after every single game. Fix those problems and it will be a 5/5 in my book. Also, it's a little buggy sometimes. I won't even have the game running and it will tell me it crashed.  "")",4
10,"This is a fun word game.Having played one of BitMango's other games, Word Cookies, I'm pleased this one is as enjoyable. I'm assuming it will get progressively more difficult as it progresses. Easy to play a bit, put it down, and continue the round later. Very pleased to find another relaxing game from a good company. So refreshing to play a game that doesn't hound a player for money constantly, so I don't mind parting with a bit of money for hint coins when needed. Hope they have little extra daily and weekend clallanges like they've  started for Word Cookies!  "")",5
11,"So I think just about everyone has heard of this game... Buuuuuuut there are some newbies here so I'll explain. Its a multiplayer game and It's in my opinion that It is probibly #2 best game I've ever played. Great concept and I like to get creative on makeing a snake/worm thing. A+ grade. ÙüÛ÷ÕÙüÛ÷À_  "")",5
14,"The game is great. I just have three words it's AAA Addicting annoying but awesome at the same time. The graphics and colours made the gameplay even better. I love it! And for all the people who have it u just need to practice cause practice makes perfect and don't rage quit !ÙüèÏÀ_  "")",5
15,"Love that the levels get more  challenging as you go on and that you can get extra words to go towards your coins. Also love the daily puzzle. You expect some ads for a free app but they are long ads that I have to x out of at least twice, and sometimes that doesn't even work and I have to push the back button on my phone or exit the game. For that I take a star off.  "")",4
17,"It\'s great to pass the time. I especially like the fact that it will get ""tired"" and force you to stop,  which I\'m sure my job appreciates ÙüèÏÊ  And there are ads but it\'s not overwhelming at all! Have downloaded games WAAAY worse on ads. This one is good.  ')",4
19,"Ok 1. This game is awesome 10/10, 2. When u reach max level its hard to get gems and everyone is pay to win. There's no way free to win can win easly. U guys start making hot offer that makes everyone buy it, and you guys totally success. But this game isnt fair anymore, people buy your offer and buy awesome Guns, tools. But the free to play cant get that stuff easy. 3. Its hard to get stuff from event that used keys. I ALWAYS got 1 gem every time i spin it. Please make this game fair. Also The game only have 1% hackers at it and im very ok with it and like it. Thanks  "")",5
23,"The game is great the features are excellent but the only problem is, is that pokemon only show up in one spot I know you have to out and about to find them but it would be nice to be able to move my character in the pokemon world. And it would be nice to actually update the scenery as well so it's not just a grass land area. You need to add say like pokemon centres and contests and other building and characters you can bump into to talk to. But other than that it's a great game and I do love playing.  "")",5
24,"When I was quite young around 5 to 6 years old I used to play the orginal version,it used to be my favourate. And now even as I am only nine TEMPLE RUN2 has come to my life as an improved version of Temple run. I can say it is even better as we don't have to give money to reach the frozen  level or whatever it is called, and the greatest part of the game is that there are no ads at all (by that I mean there may be two or three but i am sure not more than that)and to anybody who wants to know this ,there are Prizes and spinning wheels. If you like this game you should definitely install TEMPLE RUN OZ. thankyou Plese like  "")",5
27,"This game is perfect with my Samsung galaxy note8. Fun to play. Easier to play with the stylus s pen. I recently broke my s pen, yet it still works, but I try to  limit its use so I don't break it further. This game is easy to learn, and gets challenging. Helps Kitchen is what I'm at right now, and its free hard! Only at level 8 with two stars. Always try to get three. It's like you have be more accurate where you drag and drop the dishes, or else it won't be taken by the customer.  "")",5
29,"So cute game.....! I like it very much. The shoe collection is awesome. Dresses and outfits are so much.......... beautiful. Hairstyles are glamorous. This is a perfect game.ÙüèÏÛ¡ But I work so hard to go to new levels and when I finally come to sticker album and see my new pack of stickers I see all 5 stickers are duplicate I don't like it minimum 2 stickers should be duplicate. Please Pleased do anything for it. This thing makes the game's repotation down. ÙüèÏåÂÙüèÏåÂ The spring hairstyle is the bestest hairstyle ÙüÕå_ÙüÕå_ I like it's all colours but blue is the most glamorous ÙüèÏèÏ  "")",5
30,"You guys have an awesome game here. For a mobile shooter game i feel like this has all the elements a game needs. Its all skill, you can only buy asthetics (costumes, gun skins, etc.) Every game is different cause your equipment depends on what you find on the map and where you drop from the helicopter at. You are gathering people together 90 to 100 a game and have the option of solo or 2,4 and 5 man squads. With the capabilities to chat with the phone mic... this game has amazing potential. Just a few kinks  in my opinion.  Great start to what i hope will be a sensation.  ')",5
32,"Great game. Nice mix of action and turn based play. The fact that you can search for specific shards, gear, crafting parts is a touch of genius - no grind. Separate energy for two areas means longer play. Only downside is the rating for this is not high enough! Also, background music changes according to location, very nice detail. Massive amount of characters and variations of them. Great game guys. Really looking forward to updates.  ')",5
35,"The ads when I play an episode. I have to watch at least 2-3 adds before every episode other than the first free one that doesn't take a ticket. I would love it if the tickets refilled in 1 hour or less instead of like, 3... other than that, it's really great and all the different episodes. There are many soo many to choose from.. don't get this game if you can't connect to the internet and don't have unlimited data, it takes a lot. It also takes a lot of space.  "")",4
